animal,pagina,tipo_texto,texto
Capuchino arrocero de java,382,appearance,"El Capuchino arrocero de java adulto es inconfundible, con sus partes superiores y pecho grises, vientre rosado, cabeza negra de mejillas blancas, anillo ocular rojo, patas rosadas y grueso pico rojo. El macho y la hembra son similares. Los inmaduros tienen las partes superiores marrones y las inferiores marrón pálido, y la cabeza lisa. Los pájaros muy jóvenes tienen el pico negro con la base rosa."
Capuchino arrocero de java,382,mating,"Los Capuchinos arroceros de java son aves monógamas que forman parejas. Durante la época de cría, los machos entonan cantos para atraer a las hembras. Los gorriones de Java construyen sus nidos en un árbol o edificio. Las hembras ponen hasta 8 huevos y la incubación dura aproximadamente 14 días. Los polluelos son protegidos por ambos padres y empiezan a criar cuando tienen 1 año."
Elanio maromero,383,habbit,"El elanio maromero se alimenta principalmente de roedores, volando sobre el matorral de las tierras bajas o de los pastizales. Prefiere las zonas abiertas, y suele verse en zonas urbanas. Nidifican en colonias dispersas. Pueden realizar dos puestas por año. El nido es de ramitas, con el interior tapizado con hierba y otros materiales blandos. Pone de dos a seis huevos blancos manchados de castaño. La incubación dura 30 días; es la hembra la que empolla. Los polluelos son alimentados por los dos padres. Los jóvenes dejan el nido a las cinco o seis semanas. Duermen comunalmente en grupos de hasta cien individuos, fuera de la estación de cría. Vive hasta los 2600 metros de altitud. Se mantienen solitarios y en parejas durante la época reproductiva. El nombre bailarín proviene del hecho que para buscar su presa es capaz de quedar suspendido en el aire batiendo la alas."
Elanio maromero,383,appearance,"Su coloración es parecida a la de una gaviota, pero su forma y vuelo son los de un halcón, con la cola redondeada. Su plumaje es gris en el dorso y blanco en el vientre, con los hombros y la punta de las alas negros. El juvenil es blancuzco, manchado de pardo canela, y balancea la cola. Tiene una longitud total de 35 a 40 cm. Las hembras, que son más grandes, alcanzan un peso de unos 300 gramos."
Elanio maromero,383,mating,"Los milanos de cola blanca son monógamos en serie y forman parejas que duran toda la temporada de cría. Cuando se forma la pareja, tanto el macho como la hembra construyen un pequeño nido en la copa de un árbol que reutilizan año tras año. La hembra pone de 3 a 5 huevos y los incuba entre 25 y 28 días; durante este tiempo el macho le proporciona alimento. Los pollos son altriciales; nacen indefensos y están cubiertos de plumón. Emplumecen unos 35 días después, pero permanecerán con sus padres un mes más."
Calamón takahe de la isla sur,384,habbit,"Vive en pastizales donde se desplaza con un caminar lento, al no poder volar por su peso (de 2 a 4 kg aproximadamente). El takahe se reproduce de octubre a diciembre construyendo un nido en el suelo donde suele poner dos huevos que terminarán de incubar en 31 días. Como resultado saldrán pichones negros que se quedarán junto a sus padres durante cuatro meses y a los dos años estarán en edad de reproducirse.Es debido a este lento desarrollo que se ve en peligro de extinción, ya que no alcanza a reproducirse lo suficientemente rápido para compensar las muertes por caza, depredación de crías y huevos, etc."
Calamón takahe de la isla sur,384,appearance,"Los adultos son de color azulado, si bien poseen un plumaje negro cuando son polluelos, también su pico se torna de negro a rojo a medida que crece."
Calamón takahe de la isla sur,384,mating,"Los Calamón takahe de la isla sur son monógamos. Forman parejas que permanecen juntas desde los 12 años hasta, probablemente, toda su vida. Estas aves construyen un voluminoso nido bajo arbustos y matorrales. Las hembras ponen de 1 a 3 huevos de color beige que eclosionan al cabo de unos 30 días. Los pollos son alimentados por ambos padres y se independizan a los 3 meses."
Grallina australiana,385,habbit,"Las alondras urracas son aves diurnas que suelen verse solas o en parejas. También pueden reunirse en ""bandadas"" sueltas formadas por docenas de individuos que se observan posados en miradores. Este comportamiento es habitual, sobre todo en zonas agrícolas productivas. Las alondras urracas son agresivamente territoriales y defenderán sin miedo su territorio frente a especies más grandes como urracas, cuervos, cucaburras e incluso el Águila audaz. También se sabe que atacan a personas para defender su zona de nidificación. Aunque los ataques a las personas no son tan agresivos, aún pueden causar sorpresa o lesiones leves al receptor. Las alondras urracas son una de las cerca de 200 especies de aves de todo el mundo conocidas por cantar a dúo; cada pareja produce aproximadamente una nota por segundo, pero con medio segundo de diferencia, de modo que a los humanos les resulta difícil distinguir que en realidad hay dos pájaros cantando, no uno. Su canto a dúo es cooperativo: las parejas cantan juntas para defender su territorio. Las alondras urracas cantan con más vigor en respuesta a las llamadas a dúo de Otros pájaros, y con más vigor aún si los que llaman son extraños en lugar de pájaros establecidos y familiares de un territorio vecino. Sin embargo, un par de vecinos que llaman desde el lugar ""equivocado"" provocan una poderosa reacción: está claro que saben exactamente quiénes son sus vecinos."
Grallina australiana,385,appearance,"La grallina australiana mide unos 28 cm de largo cuando adulto, y su plumaje está adornado con grandes manchas negras y blancas; los machos pesan entre 64 a 120 g machos, y las hembras entre 60 a 95 gr. Es muy común verlas en Australia; posadas en cables de teléfono solas o en parejas, o patrullando sobre zonas de suelo descampado, especialmente en costas o pantanos. A la distancia los sexos son similares pero es fácil distinguirlos ya que la hembra tiene garganta blanca mientras que el macho posee garganta negra y una ""ceja"" blanca."
Grallina australiana,385,mating,"Las alondras urracas son monógamas; suelen emparejarse de por vida y defienden juntas un territorio. Estas aves construyen nidos redondos, de unos 150 mm (5,9 pulgadas) de diámetro con lados verticales y suelen colocarlos en una rama plana en algún lugar cerca del agua o en una viga horizontal de un poste telefónico. El nido está hecho de hierba y material vegetal densamente enlucido con barro y generosamente forrado de hierba, plumas y pelo. La cría suele tener lugar de agosto a febrero en el sur fértil, en cualquier momento después de la lluvia en las zonas más secas, y son frecuentes las nidadas múltiples cuando las condiciones lo permiten. Ambos padres incuban una nidada de entre 3 y 5 huevos. La incubación de los huevos dura hasta 18 días y los pollos emplumecen unas 3 semanas después de la eclosión. A menudo sólo algunos de los polluelos sobreviven porque a veces el nido no es lo suficientemente grande para todos los polluelos, por lo que un polluelo a veces empuja a otro fuera del nido y lo más probable es que no sobreviva a la caída. Los jóvenes se independizan unas 5 semanas después de volar y alcanzan la madurez reproductiva a los 2 años de edad."
Picogrueso cabecinegro,386,habbit,"Los Picogruesos cabecinegros son aves sociales. Pasan el tiempo y Migratorio en pequeñas bandadas; sin embargo, durante la época de cría se vuelven territoriales y tanto machos como hembras se pelean con otros grosbeaks del mismo sexo. Los Picogruesos cabecinegros son activos durante el día y descansan por la noche. Con frecuencia cantan desde perchas prominentes. Tanto el macho como la hembra cantan, pero tienen cantos diferentes, y se sabe que ambos cantan desde el nido mientras incuban. El canto de estas aves es un rico gorjeo similar al del Zorzal robín, pero más fluido, rápido, suave, dulce y meloso, con pasajes ascendentes y descendentes que hacen que el canto sea mucho más largo que el del petirrojo. La nota es un 'ik' o 'eek' agudo. Los Picogruesos cabecinegros buscan alimento en el follaje, en el suelo o en la vegetación baja. Cuando se alimentan, los pollos cantan a su madre, agitando las alas y mostrando sus plumas inferiores amarillas."
Picogrueso cabecinegro,386,appearance,"La longitud aproximada en individuos adultos es de unos 19 cm desde el pico hasta la cola, lo que los hace aves grandes. La cabeza de los machos es negra, lo mismo que las alas y la cola, pero estas dos últimas tienen manchas blancas. El pecho es color naranja y el vientre amarillo. La hembra tiene la cabeza parda, y el cuello y la espalda presentan rayas negras, similares a las del gorrión doméstico (Passer domesticus), a diferencia que las hembras de la especie aquí tratada son mucho mayores. Tiene también rayas blancas en a cabeza, sobre el ojo y en las mejillas. El pecho es generalmente café claro con rayas en los costados. La cola es parda grisácea, lo mismo que las alas, pero éstas presentan rayas blancas evidentes. Se distingue de la hembra del picogrueso pechirrosa (Pheucticus ludovicianus) porque ésta tiene el pecho más blanco y más rayado. en el centro de México llamada también Tigrillo Se hibrida con el picogrueso pechirrosa en el límite este de su distribución."
Picogrueso cabecinegro,386,mating,"Las hembras elaboran sus nidos entre el follaje de los árboles o en arbustos densos. El nido, en forma de cuenco, se fabrica de finas hojas de pasto, raicillas, corteza y agujas de coníferas. La hembra pone de 2 a 5 huevos color verde pálido, azul o gris, con manchas rojizas y pardas. Los huevos son incubados por el macho y la hembra durante 12 o 14 días. Los polluelos abandonan el nido tras 11 o 12 días después de la eclosión, pero se mantienen sin poder volar durante otras dos semanas. Los individuos juveniles son alimentados por ambos padres. Generalmente hay una sola puesta por año, pero también se han registrado dos."
Perico multicolor,387,habbit,"Se alimenta de semillas de herbáceas y frutos. Su época de cría tiene lugar en la primavera y los comienzos de verano australes, entre agosto y enero. Suelen criar una sola nidada. Generalmente anidan en un hueco de un árbol, normalmente de alrededor de 1 m de profundidad, y a una altura de hasta 30 m del suelo. La puesta suele tener entre cinco y seis huevos (aunque se han registrado hasta nueve). Sus huevos son blancos, redondeados, ligeramente brillantes y miden 26 x 22 mm. "
Perico multicolor,387,appearance,"El perico multicolor mide alrededor de unos 30 cm de largo. Tiene la parte superior del pecho, el cuello y la cabeza rojos, salvo las mejillas y garganta que son blancos, además de la base inferior de la cola. Su pico es blanquecino y el iris de sus ojos castaño. La parte inferior del pecho es amarilla y se difumina hasta el verde claro del vientre. Las plumas de su espalda y hombros son negras con los bordes amarillos o amarillo verdosos, que le dan una apariencia escamada que varía ligeramente entre las distintas subespecies y los sexos. Los laterales de las alas y cola son azules, mientras que las plumas centrales de la cola son de color verde oscuro. Sus patas son grises. La hembra tiene una aspecto similar aunque de tonos algo más apagados y tiene una lista bajo las alas que no tienen los machos. Los juveniles son de tonos más apagados que las hembras y tienen la lista bajo las alas."
Perico multicolor,387,mating,"Los Perico multicolor son monógamos y se aparean de por vida. Suelen criar en primavera, pero si es necesario también en verano. La señal que las Perico multicolor orientales suelen mostrar de que están listas para criar es que los miembros de la pareja se dan de comer mutuamente. Estas aves anidan en cavidades, generalmente en lo alto de grandes árboles viejos en zonas boscosas. Su cavidad de cría tiene 1 metro (3 pies) de profundidad y 30 metros (98 pies) de altura sobre un árbol. La hembra pone de 2 a 9 huevos y los incuba durante unos 19 días. Durante este tiempo el macho lleva regularmente comida a la hembra. Los polluelos son Altriciales al nacer. Son ciegos e indefensos y requieren cuidados parentales. Permanecen en el nido unos 32 días y pueden ser alimentados por los padres durante un tiempo después de volar."
Buitre cabeciblanco,388,habbit,"Los Buitres cabeciblancos son de naturaleza muy tímida. Estas aves suelen verse solas o en parejas. Se pasan el día volando en busca de comida. Vuelan con frecuencia más bajo que otras especies de buitres y suelen ser la primera especie en aparecer ante un cadáver. El campo visual de los buitres cabeciblancos es más similar al de otras especies depredadoras como el halcón accipítrido que al de los buitres Gyps, más estrechamente emparentados y que se alimentan de carroña. Concretamente, tienen un campo binocular significativamente más amplio (30°, frente a los 20° de los buitres Gyps), lo que se cree que ayuda a la colocación y sincronización precisas de las garras, necesarias para capturar presas vivas."
Buitre cabeciblanco,388,appearance,"El Buitre cabeciblanco tiene el pico rosa y la cresta blanca, y las zonas sin plumas de la cabeza son pálidas. Tiene las partes superiores de color marrón oscuro y las plumas de la cola negras. Las plumas de las partes inferiores y de las patas son blancas, lo que le da su imagen diagnóstica desde abajo. Estos buitres son fácilmente distinguibles de todas las demás especies de buitres, ya que el plumaje muestra un fuerte contraste entre el blanco y el negro. Los Buitres cabeciblancos individuales también pueden identificarse con fiabilidad gracias a un patrón único en la parte mediana de la cubierta de sus alas."
Buitre cabeciblanco,388,mating,"Los Buitres cabeciblancos son monógamos y forman parejas. Son nidificantes solitarios y parecen ser leales a un territorio en el que permanecen como residentes. Construyen nidos en árboles (sobre todo acacias o baobabs). La hembra suele poner un solo huevo un par de meses después de que haya terminado la estación de lluvias y esté en marcha la estación seca. La incubación dura entre 43 y 55 días y ambos padres comparten las tareas de incubación y cría. El polluelo permanece en el nido unos 115 días alimentado por los padres. Después de que el polluelo emplume, los padres continúan alimentándolo en el nido durante 6 meses más."
Paragüero corbatudo,389,habbit,"El comportamiento en tanto en el aspecto de la anidación, la hembra suele pasar un gran tiempo en el cuidado y mantenimiento del nido a través de un rápido sondeo. Además en el empollamiento la hembra suele pavonear y bostezar comúnmente; sin embargo estos movimientos se dan de manera muy rápida de tal forma que la hembra mantiene un gran nivel de atención hacia su cría. Es un ave territorial considerando que para realizar el proceso de la cópula los machos ocupan un árbol de demostración y de esa manera conquista a la hembra a través de potenciales gritos y manifestaciones visuales. "
Paragüero corbatudo,389,appearance,"El macho mide aproximadamente entre 40-42 cm, mientras que la hembra mide de 35,5 a 37 cm; esta especie es menor que sus congéneres con una cola corta; tanto macho como hembra poseen iris pardo oscuro. El macho generalmente tiene astiles de color negro en las plumas y la carúncula más larga que la hembra (20-30cm), el macho logra controlar la longitud de la carúncula de tal manera que puede acortar la carúncula según su voluntad, ya que esta siempre se aparta en el vuelo del ave; y un carácter de la hembra es que carece de penacho en el cuello; por otra parte, ya sea machos como hembras en estado inmaduro pueden o no presentar la carúncula. Esta ave posee una prominente cresta levantada sobre la cabeza; esta cresta está conformada por plumas similares a pelos. Dado su distribución es una especie que puede ser confundida con una especie de ave mucho más rara, como el cuervo higuero golirrojo (Querula purpurata).  La duración de vida de esta especie es hasta los 10 años."
Paragüero corbatudo,389,mating,Es ovípara y la tasa de reproducción en el género Cephalopterus suele ser muy baja y se conoce que solo pone un huevo por camada.
Porrón osculado,390,habbit,"Se trata de un pato tímido, que fácilmente alza el vuelo, en bandadas, emitiendo un silbido fuerte. Los grupos están compuestos fundamentalmente por hembras e inmaduros. Su voz es nasal, mecánica, cuando están en exhibición nupcial; los juveniles y la hembra emplean una nota doble chirriante."
Porrón osculado,390,appearance,"Es una especie de pato con un marcado dimorfismo sexual. Los machos adultos miden entre 45–52 cm y tienen un peso entre 888 y 1400 g, mientras que las hembras miden entre 40–50 cm y pesan entre los 500 y 1182 g. Los machos tiene la cabeza negra con iridiscencias verdes, salvo una mancha blanca redondeada en la parte frontal de la mejilla, que da nombre común a la especie al atribuirse popularmente esta mancha blanca a un beso. Además posee los ojos amarillos y un pico negruzco triangular. Su espalda, alas y cola son negros (excepto las plumas secundarias), mientras que el resto de su plumaje es blanco. Las hembras tienen la cabeza de color castaño, el las partes superiores y costados grisáceo, mientras que su vientre es blanco. También tienen las secundarias y el cuello blancos. Las hembras tienen el iris de los ojos blanquecino o de un amarillo menos intenso que los machos, y pueden tener una mancha anaranjada en la punta del pico. Las patas de ambos sexos son de color anaranjado.El plumaje de eclipse del macho es similar al de la hembra pero manteniendo algunas plumas oscuras en la cabeza."
Porrón osculado,390,mating,"Anidan de abril a junio. Construyen su nido en las cavidades de los árboles con materia vegetal y tapizado de plumón. Los huecos donde ubican su nido suele haberse producido por la rotura de ramas o por pájaros carpinteros grandes. Suelen realizar una nidada por año. El tamaño medio de sus huevos es 43,3 x 59,3 mm con un peso de 64 g. El periodo de incubación dura entre 28 y 32 días. La hembra se encarga sola de la incubación y cuidado de las crías, puesto que es abandonada por el macho una semana o dos después de empezar la incubación. Los patitos permanecen en el nido unas 24–36 horas. El parasitismo de puesta es bastante común tanto por parte de otros porrones osculados como de otras especies de patos. Además las nidadas se mezclan con las de otras hembras en cuanto los patitos empiezan a ser más independientes. Las crías tardan en desarrollarse 55–65 días y alcanzar la capacidad de vuelo."
Avetoro lentiginoso,391,habbit,"El Avetoro lentiginoso es un buscador de alimento solitario, que permanece inmóvil o camina lentamente con los dedos abiertos mientras busca comida. Caza durante el día, especialmente al amanecer o al atardecer. Posiblemente su comportamiento más famoso sea su postura cuando se siente amenazado. Apunta con el pico al cielo, estira el cuerpo e incluso se balancea con la brisa, con el fin de mimetizarse con el entorno de juncos. Tan arraigada está esta postura que a veces la utilizará incluso cuando esté al aire libre. Estas aves no socializan mucho excepto cuando Migratorio en pequeños grupos, o durante el apareamiento, o enfrentándose por territorios - y esto puede ser dramático. Los machos que compiten entre sí se agachan y se acercan unos a otros, mostrando los penachos blancos que tienen entre los hombros. Estos movimientos pueden intensificarse hasta convertirse en una persecución en el aire, en la que los combatientes se elevan en espiral, mientras intentan apuñalar a su oponente con el pico."
Avetoro lentiginoso,391,appearance,"Es un ave grande, robusta y de colores pardos, muy similar al avetoro común (Botaurus stellaris). Mide entre 59 y 70 centímetros de alto, con una amplitud de alas de 95 a 115 centímetros. Aunque es común en su hábitat natural, el avetoro americano es difícil de ver porque suele esconderse entre los cañizales de pantanos, ciénagas y prados. Generalmente lleva una vida solitaria, siempre rodeado de vegetación. Si siente que ha sido localizado, deja de moverse, apuntando con su cabeza hacia arriba, confundiéndose con su entorno. Su pico de actividad es al anochecer. Siendo más escuchado que visto, este avetoro tiene un canto que recuerda una bomba congestionada.  Al igual que otros miembros de la familia Ardeidae, el avetoro americano se alimenta en pantanos y en aguas poco profundas como estanques, consumiendo anfibios, peces, insectos y reptiles.  Este avetoro hiberna en el sur de los Estados Unidos y en América Central. Pasa el verano en Canadá y en gran parte de Estados Unidos. Como ave migratoria, raramente anida en Europa, y cuando lo hace puede encontrarse en el Reino Unido y en Irlanda. Anida en lugares aislados: la hembra construye el nido y el macho lo protege. La hembra incuba de dos a tres huevos durante veintinueve días, y los polluelos nacen después de seis o siete semanas. Ningún otro animal se considera una subespecie de esta ave en la actualidad. Sin embargo, en el río Ichetucknee, de Florida, se han descubierto fósiles que fueron descritos como una nueva especie de la familia del avetoro (Palaeophoyx columbiana; McCoy, 1963) más tarde reconocidos como una subespecie más pequeña y prehistórica del avetoro americano que vivió durante el Pleistoceno (Olson, 1974). El número de individuos ha decaído durante los últimos años en las áreas australes debido a la pérdida del hábitat. "
