animal,pagina,tipo_texto,texto
Terrapene carolina carolina,4,appearance,"Las tortugas de caja del este tienen un caparazón bombado y una bisagra como peto que permite el cierre total del caparazón, por eso son llamadas tortugas de caja. El caparazón puede ser de coloración variable, pero normalmente es de color marrón o negro acompañado de un amarillo anaranjado irradiando un patrón de líneas, puntos o manchas. La piel es de color como el de la concha, es variable, pero generalmente es de color marrón con un poco de amarillo, púrpura o blanco con manchas o rayas. Esta coloración se parece mucho a la de la hoja de invierno del álamo. El color del caparazón y la piel de una tortuga de caja del este difiere con la edad, las tortugas más jóvenes tienen a menudo colores más vibrantes. Además, los machos tienen normalmente los ojos rojos mientras que las hembras tienen los ojos marrones. Las tortugas de caja del este tienen un afilado pico, cuernos, miembros robustos, y sus pies son palmeados solo en la base. De pequeño tamaño, los machos crecen hasta un máximo de siete pulgadas, y las hembras de unos ocho año. En la naturaleza, las tortugas de caja se sabe que viven más de 80 años, pero en cautividad, por lo general viven solo entre 30 y 50 años. Prácticamente todas las tortugas tienen una cubierta de escamas, o escamas modificadas, sobre el caparazón óseo. El número, tamaño, forma y posición de estos escudos pueden ayudar en la identificación de la tortuga. Solo las tortugas de caparazón blando y la tortuga laúd tienen los escudos ausentes, dejando la piel para cubrir los huesos. Las tortugas de caja del este tienen muchas características de identificación única que las separan de las tortugas Gopherus de América del Norte y de las tortugas de agua. Mientras que los de sexo femenino el peto es plano, en los machos es cóncavo para que el macho pueda encajar en la parte posterior del caparazón de la hembra durante el apareamiento. La parte frontal y posterior del plastrón están conectados por un eje flexible. Cuando está en peligro es capaz de cerrar el peto tirando de las secciones articuladas estrechamente contra el caparazón, sellando efectivamente el cuerpo blando en el hueso. El caparazón está hecha de huesos cubiertos por un tejido vivo vascularizado y cubierto con una capa de queratina. Este caparazón está conectado al cuerpo a través de su caja torácica lo que hace que el caparazón esté de manera permanente y no se pueda mover.  Cuando se lesiona o se daña, el caparazón tiene la capacidad para regenerarse y reformarse. Con el tejido granular poco a poco va recuperando las formas y la queratina crece lentamente sobre la zona dañada para reemplazar los faltantes y escudos o escaleras. A diferencia de los galápagos, como la tortuga pintada (Chrysemys picta), los escudos de la tortuga de caja seguirá creciendo a lo largo de la vida de la tortuga y el desarrollo de los anillos de crecimiento. Las tortugas de agua en general se desnudan de sus escudos a medida que crecen. "
Terrapene carolina carolina,4,mating,"Se sabe que las tortugas-caja orientales no forman parejas, lo que significa que tienen un sistema de apareamiento poligínico (un macho y varias hembras) o poligínandro (promiscuo) (ambos sexos tienen varias parejas). Las tortugas-caja orientales pueden criar en cualquier momento a lo largo de los meses de finales de primavera, verano y principios de otoño, pero es más probable que la puesta de huevos se produzca en mayo y junio, cuando las lluvias son frecuentes. Tras el apareamiento, la hembra busca un lugar apropiado para anidar. La temperatura afecta al sexo de las crías, a la tasa de desarrollo y, posiblemente, a su estado físico. Con la ayuda de sus patas traseras, las hembras excavan un nido poco profundo en tierra suelta. Los huevos se depositan generalmente poco después de la fase de excavación, y cada huevo se despliega en una posición determinada. Los nidos se ocultan después con hierba, hojas o tierra. Una hembra puede poner de 1 a 5 nidadas de entre 1 y 9 huevos en un solo año, o incluso retrasar la puesta si los recursos son escasos. La incubación depende de la temperatura, pero tiene una duración media de 50 a 70 días. Las crías están bien desarrolladas al nacer y alcanzan la madurez reproductiva a los 5 años."
Serpiente terciopelo,5,habbit,"Esta especie es principalmente nocturna, escondiéndose en la hojarasca o entre raíces de árboles durante el día. Los ejemplares juveniles son a menudo semiarbóreos e incluso los adultos se encuentran a veces en arbustos y árboles bajos. En comparación con la ""barba amarilla"" (B. atrox), estas serpientes han sido descritas como más excitables e impredecibles cuando son molestadas. Pueden moverse con mucha rapidez  y por lo general optan por huir del peligro,  pero son capaces de repentinamente invertir de dirección para defenderse vigorosamente. Cuando están acorralados y plenamente alertas, los especímenes adultos deben ser considerados muy peligrosos. "
Serpiente terciopelo,5,appearance,"Bothrops asper es una de las especies de serpientes con mayor dimorfismo sexual. Las serpientes de ambos sexos nacen con el mismo tamaño, pero entre los 7 a 12 meses de edad las hembras comienzan a crecer más rápidamente que los machos. En general, los adultos miden entre 140-180 cm. Los machos nunca alcanzan más de 195 cm de longitud, mientras que las hembras tienen un tamaño promedio de 185 cm, con una longitud máxima confirmada de 250 cm. Las hembras tienen cuerpos gruesos y las más grandes pueden pesar hasta 6 kg, aunque se han informado ejemplares de mayor peso. La cabeza de las hembras es dos o tres veces más grande que la de los machos en proporción a su tamaño, y sus colmillos también son proporcionalmente más grandes (típicamente 2,5 cm). El patrón de color se asemeja al de Bothrops atrox: rayas diagonales y diamantes de varios tonos de marrón. La parte inferior de la cabeza es amarillo pálido. Las serpientes recién nacidas son de color más brillante y los machos juveniles tienen la punta de la cola amarilla. A cada lado de la cabeza tiene una foseta loreal ubicada entre el ojo y el hocico, que sirve para detectar presas que emiten radiación térmica. La foseta loreal es una característica compartida con las demás víboras de foseta. Esta especie es responsable de una parte importante de las mordeduras de serpientes dentro de su área de distribución. Junto a la víbora de cascabel (Crotalus durissus) es la principal causa de mordeduras de serpiente en Yucatán (México). En Costa Rica es considerada la serpiente con mayor cantidad de mordeduras y el 30 % de todos los casos hospitalizados. Antes de 1947 la tasa de mortalidad era del 7 %, pero desde entonces se ha reducido a casi 0 % (Bolaños, 1984). En los departamentos colombianos de Antioquia y Chocó causa un 50-70 % de todas las mordeduras de serpientes, con una tasa de secuelas de 6 % y una tasa de mortalidad de 5 % (Otero et al., 1992). En el estado de Lara (Venezuela) es responsable del 78 % de todos los envenenamientos y de todas las muertes por mordedura de serpiente (Dao-L., 1971). Una de las razones porque tantas personas son mordidas por esta especie es su asociación con las habitaciones humanas donde viven sus presas comunes (ratas, ratones, lagartos). Por lo tanto, muchas de las mordeduras ocurren en el interior de las casas (Sasa & Vázquez, 2003).  Esta especie es fácilmente irritable y tiene la reputación de ser rápida y agresiva. Es considerada como más excitable e impredecible que la Bothrops atrox. Su gran tamaño y su hábito de levantar la parte superior de su cuerpo puede dar lugar a mordeduras arriba de las rodillas. También se les ha observado expulsar veneno a una distancia de al menos 1.8 m en chorros delgados desde la punta de sus colmillos.(Mole, 1924)  Los síntomas de mordedura incluyen dolor, supuración de las heridas punzantes, inflamación local que puede aumentar durante 36 horas, moretones que se extienden desde el lugar de la mordedura, ampollas, entumecimiento, fiebre leve, dolor de cabeza, sangrado de la nariz y las encías, hemoptisis, hemorragia gastrointestinal, hematuria, hipotensión, náuseas, vómitos, alteración de la conciencia y sensibilidad del bazo. En los casos no tratados, con frecuencia se produce necrosis local que puede producir gangrena y por tanto requerir la amputación. En 12 casos mortales la causa de la muerte fue septicemia (5), hemorragia intracraneal (3), Insuficiencia renal aguda con hiperpotasemia y acidosis metabólica (2) y choque hemorrágico (1). Venenos de especímenes de B. asper neonatos son más hemorrágicos y letales, mientras que los de adultos son más hemolíticos e inducen acción mionecrótica más fuerte.  La producción de veneno (peso seco) promedio los 458 mg, con un máximo de 1530 mg (Bolaños, 1984)  y una dosis letal media (LD50) en ratones de 2.844 mg/kg IP.  Se ha sugerido que la venenosa mordedura de la B. asper fue uno de los factores en la elección de ciertos lugares como asentamientos mayas, tales como Nim Li Punit, Bélice, donde la espesa jungla habitada por estas serpientes pudo usarse como una barrera defensiva.  El veneno de la B. asper es tan potente que zarigüeyas didélfidas (esto es, zarigüeyas como la de Virginia), que son normalmente inmunes al veneno de víboras y serpientes de cascabel, pueden morir tras ser mordidos por esta serpiente. Esto parece ocurrir especialmente si la zarigüeya no ha acabado de madurar (y por tanto el veneno está más concentrado por gramo). En efecto, se ha sugerido el veneno extremadamente potente de la B. asper evolucionó como parte de una carrera armamentista evolutiva entre estas serpientes y la zarigüeyas didélfidas, como una adaptación defensiva para evitar la depredación por parte las zarigüeyas, una adaptación que le permitió a las serpientes predar zarigüeyas grandes, o ambas. "
Serpiente terciopelo,5,mating,"En general, los machos dejan de comer durante un tiempo después del comienzo del ciclo reproductivo, mientras que las hembras dejan de comer a los pocos meses de embarazo. El apareamiento ocurre en diferentes momentos del año y en diferentes áreas. La gestación dura normalmente entre 180 y 240 días, y las serpientes nacen vivos. La camada media es de unos 30 crías, pero se han informado camadas de hasta 100 crías. Los recién nacidos usan la punta de su cola para atraer a presas."
Gecko tokay,6,habbit,"Es una especie nocturna que se alimenta principalmente de invertebrados y ocasionalmente de pequeños reptiles. En gran parte de Asia, el gecko tokay es un visitante habitual en las casas. Recorre las paredes en busca de insectos y otros lagartos, e incluso puede andar boca abajo por el techo. Se sujeta perfectamente gracias a unas almohadillas plantares cubiertas con millones de pellilos microscópicos adherentes llamados lamelas. Come por la noche y los machos emiten una aguda llamada para atraer a las hembras. Cuando aparece un depredador, en vez de huir como la mayoría de los geckos, suele adoptar una postura amenazante con la boca abierta y mirando fijamente a su atacante. Si no funciona o todavía es atacado, puede defenderse con mordidas que pueden ocasionar lesiones al atacante ya que tiene dientes afilados. "
Gecko tokay,6,appearance,"Es la segunda especie de gecko más larga, midiendo hasta 28 cm de longitud sin incluir la cola, y 35 cm incluyendo la cola. Una de sus características principales es un grito que recuerda la palabra ""tokay""; de ahí su nombre común. Es de color azul claro con pequeños puntos blancos y anaranjados, y sus ojos de un tono amarillo."
Gecko tokay,6,mating,La época de apareamiento del Gecko tokay dura unos 4-6 meses. Durante este periodo los machos atraen a las hembras con una llamada que se repite varias veces y se oye a varios metros de distancia. La hembra encuentra un lugar de puesta y deposita nidadas de 1 ó 2 huevos de cáscara dura. Ella los custodiará hasta que eclosionen. La incubación puede durar de 2 a 6 meses. Las crías están completamente desarrolladas desde el nacimiento y alcanzan la madurez reproductiva cuando tienen un año.
Serpiente real de california,7,habbit,"Las Serpientes reales de california son principalmente Diurnas pero pueden volverse Nocturnas cada vez más durante periodos de tiempo particularmente caluroso. Son principalmente Terrestres pero pueden trepar por ramas bajas y arbustos. Generalmente son solitarias, excepto cuando hibernan en épocas frías. En invierno, se refugian bajo tierra y entran en un estado similar a la hibernación llamado Brumación. Cuando se las molesta, las Serpientes reales de california suelen enrollar el cuerpo para ocultar la cabeza, sisear y sacudir la cola, lo que puede producir un sonido parecido al de una serpiente de cascabel. Se consideran inofensivas para los humanos, pero si se manipulan es frecuente que esta especie muerda, así como que excrete almizcle y contenido fecal por su cloaca."
Serpiente real de california,7,appearance,"Su patrón de coloración la diferencia de otras especies de su género. Es de color negro o marrón oscuro con bandas blancas o crema alrededor de todo el cuerpo. Algunas poblaciones en determinadas zonas muestran patrones diferentes, con solo una banda blanca en la zona del cuello o incluso siendo los adultos completamente negros. Suele medir entre 76 y 122 cm, pero puede llegar a medir hasta alrededor de dos metros de longitud."
Serpiente real de california,7,mating,"Las Serpientes reales de california son animales ovíparos, lo que significa que ponen huevos. Su temporada de cría comienza en primavera; durante este tiempo los machos compiten por las hembras disponibles. Los huevos se ponen entre mayo y agosto, lo que suele ocurrir entre 42 y 63 días después del apareamiento; como preparación, la hembra habrá elegido un lugar adecuado. El tamaño típico de la puesta es de 5 a 12 huevos, con una media de 9, aunque se conocen puestas de 20 o más huevos. Las crías suelen salir al cabo de 40-65 días y miden aproximadamente de 20 a 33 cm (8 a 13 pulgadas). Las serpientes recién nacidas son completamente independientes al nacer y alcanzan la madurez reproductiva cuando tienen entre 3 y 4 años."
Crótalo diamante occidental,8,habbit,"Esta serpiente vive en terrenos áridos, como desiertos y praderas. Por lo tanto, es de hábitos terrestres. Se alimenta de aves, lagartos y mamíferos. Es pacífica, pero si se la provoca puede morder e inyectar veneno extremadamente tóxico, aunque primero advierte con el sonido de su cascabel. El veneno puede matar a animales mucho mayores que ella. Causa muchas muertes humanas al año, lo que la hace la serpiente más peligrosa de Norteamérica. Al alimentarse, espera a que el veneno mate a su presa antes de tragársela."
Crótalo diamante occidental,8,appearance,"Este animal es un depredador altamente especializado, siendo perteneciente a la familia Viperidae, las serpientes más avanzadas en términos evolutivos. Tiene una longitud de más de dos metros, lo que la convierte en una de las serpientes más grandes del subcontinente norteamericano. Es corpulenta y pesada. La lengua es ahorquillada. Su espalda está decorada con dibujos de diamantes (de ahí viene el nombre común), y su cuerpo termina en un cascabel formado por segmentos que se van añadiendo en cada muda. Los ejemplares jóvenes no poseen cascabel. En la cabeza están los ojos, los detectores de calor, las fosas nasales, el órgano de Jacobson y los colmillos, con un potente veneno hemotóxico el cual produce edemas y una muerte celular programada por necrosis. Como la mayoría de las otras víboras de fosetas americanas, el veneno contiene enzimas proteolíticas. El veneno de esta especie es principalmente hemotóxico, afectando sobre todo a los vasos sanguíneos, las células sanguíneas y el corazón. El veneno contiene componentes hemorrágicos denominados metaloproteinasas de zinc. El veneno también contiene citotoxinas y miotoxinas que destruyen las células y los músculos, lo que se suma a los daños al sistema cardiovascular. Además de la hemorragia, las metaloproteinasas del veneno inducen la mionecrosis (daño del músculo esquelético), que parece ser secundaria a la isquemia que se produce en el tejido muscular como consecuencia de la hemorragia y la reducción de la perfusión. La alteración microvascular por las metaloproteinasas también impide la regeneración del músculo esquelético, siendo así responsable de la fibrosis y la pérdida permanente de tejido. Los efectos locales generales incluyen dolor, hemorragia interna intensa, hinchazón grave, daño muscular grave, hematomas, ampollas y necrosis; los efectos sistémicos son variables y no específicos pero pueden incluir dolor de cabeza, náuseas, vómitos, dolor abdominal, diarrea, mareos y convulsiones. El sangrado causado por las hemorragias es un efecto clínico importante que puede ser mortal. Debido a sus grandes glándulas venenosas y a sus colmillos especializados, la Crótalo diamante occidental puede suministrar una gran cantidad de veneno en una sola mordedura. La producción media de veneno por mordedura suele ser de entre 250 y 350 mg, con un máximo de 700-800 mg. La envenenamiento grave es poco frecuente pero posible y puede ser letal. La tasa de mortalidad de las mordeduras no tratadas oscila entre el 10 y el 20%."
Crótalo diamante occidental,8,mating,Los jóvenes tardan 3 o 4 años en madurar sexualmente. Estas serpientes son ovovivíparas.
Tortuga carey,9,habbit,"Típicamente diurnas (excepto durante la época de apareamiento), las tortugas carey solitarias peinan las plataformas continentales y los arrecifes en busca de alimento. Pasan la mayor parte de su vida en el agua forrajeando, descansando y limpiando y sólo vienen a tierra para poner huevos. Se quedan principalmente cerca de las costas, donde se encuentran arrecifes de coral con esponjas, y no muy lejos de las playas tropicales que son sus lugares de anidamiento. Al igual que otras tortugas marinas, la Tortuga carey realiza increíbles Migratorios cuando se desplaza de los lugares de alimentación a las zonas donde anida."
Tortuga carey,9,appearance,"Tiene la apariencia típica de una tortuga marina. Como en los demás miembros de su familia, su cuerpo es plano y sus extremidades en forma de aleta están adaptadas a la natación. Las tortugas adultas tienen de media entre 60 y 90 cm de longitud de caparazón y entre 50 y 80 kg de peso, con un máximo registrado de 127 kg. Su concha o caparazón tiene un fondo de color ámbar, con una combinación irregular de bandas claras y oscuras de colores predominantemente amarillos y marrones difundidos a los lados. Los ejemplares jóvenes son negros, exceptuando el borde del caparazón, que es amarillo. Cuando nacen tienen forma de corazón y van adquiriendo forma oval cuando crecen.  El color del borde serrado formado por las placas del caparazón se difumina con la edad. Los machos se distinguen por una pigmentación más clara, peto cóncavo, uñas más largas y una cola más gruesa. También tiene varias características que la distinguen de otras especies estrechamente relacionadas con ella. Su alargada y afilada cabeza termina en una boca parecida a un pico que, en su caso, es más pronunciado y afilado que el de otras tortugas marinas. Sus brazos tienen dos garras visibles en cada aleta. Una de sus características más distintivas es el patrón de gruesas placas que forman su caparazón. Mientras que su caparazón tiene cinco placas centrales y cuatro pares a cada lado como varios miembros de su misma familia, las placas posteriores de la carey se superponen de tal manera que le dan al borde posterior de su caparazón una apariencia aserrada, parecida al filo de una sierra o de un cuchillo dentado. El caparazón de la tortuga puede llegar a medir 90 cm de ancho.  Sus huellas en la arena son asimétricas, ya que se arrastran por la tierra con un paso alterno. Esta forma de avance se diferencia de las tortugas verdes (Chelonia mydas) y las tortugas laúd (Dermochelys coriacea), que se arrastran de una forma bastante simétrica.   Son grandes nadadoras. Pueden alcanzar velocidades de hasta 24 km/h y hay registros de tortugas que han recorrido nadando 4828 km.  En el Caribe se han registrado inmersiones de tortugas carey a más de 70 metros de profundidad durante un periodo de más de 80 minutos. "
Tortuga carey,9,mating,"Todavía se desconocen muchas cuestiones sobre su ciclo vital. Tienen unos intervalos de anidación de entre dos y cuatro años, aunque este periodo puede variar de nueve meses a diez años, según la zona; utilizan preferentemente lagunas aisladas de islas remotas a lo largo de toda su área de distribución. La época de apareamiento de la carey atlántica transcurre normalmente entre abril y noviembre. Para las poblaciones del océano Índico, como las de las Seychelles, esta discurre entre septiembre y febrero. De igual forma que sucede con otras tortugas marinas, las carey se aparean en lagunas poco profundas cerca de las playas donde probablemente nidificarán. Tras el acoplamiento, las hembras arrastran sus pesados cuerpos hasta la playa durante la noche. Entonces se encargan de limpiar una zona y cavar un agujero donde depositarán sus huevos, usando sus aletas traseras. Después la hembra efectúa la puesta en el nido y cubre de inmediato los huevos con arena. Los nidos de E. imbricata del Caribe y de Florida generalmente contienen unos 140 huevos, aunque pueden llegar a 250, sin embargo, las nidadas notificadas en el golfo Pérsico son sensiblemente inferiores, con un promedio de unos 90 huevos. Tras el prolongado proceso, de varias horas de duración, la hembra vuelve al mar. La puesta es el único momento en que las tortugas carey abandonan el mar."
